축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
나비대축제,함평엑스포공원,2025-04-25,2025-05-06,"나비, 황금박쥐를 만나다.",전라남도 함평군+함평축제관광재단,전라남도 함평군+함평축제관광재단,문화체육관광부+농림축산식품부+환경부+전라남도+한국곤충학회+(사)한국응용곤충학회+전라남도 교육청+한국관광공사+한국도로공사+한국철도공사,061-320-2245,https://www.hpftf.or.kr/contentsView.do?pageId=www88,"꽃+나비+곤충을 소재로 한 전시+문화+체험행사+나비+곤충을 소재로 각종 체험프로그램 운영, 친환경 농ㆍ수ㆍ축산물 및 우수 특산품 등 전시, 판매",전라남도 함평군 함평읍 곤재로 27,전라남도 함평군 함평읍 수호리 1153-1,35.05813923,126.5226056,2025-05-14,4960000,전라남도 함평군
대한민국 국향대전,함평엑스포공원,2025-10-24,2024-11-09,미정,전라남도 함평군+함평축제관광재단,전라남도 함평군+함평축제관광재단,전라남도+한국관광공사+농림축산식품부+농촌진흥청+대한민국국화동호회,061-320-2239,https://www.hpftf.or.kr/,"가을과 겨울 정취를 만끽할 수 있는 경관연출과 대형트리, 종소리 게이트, 마법의성 및 9층탑 등 대형 국화 기획 작품과 매년 다양한 국화분재 작품이 전시되어 환상적인 분위기를 연출",전라남도 함평군 함평읍 곤재로 27,전라남도 함평군 함평읍 수호리 1153-1,35.05813923,126.5226056,2025-05-14,4960000,전라남도 함평군
제28회 무안연꽃축제,회산백련지 일원,2025-06-26,2025-06-29,연꽃 힐링 및 체험프로그램+먹거리 운영 등,전라남도 무안군축제추진위원회,전라남도 무안군,,061-450-5472,http://tour.muan.go.kr/,,전라남도 무안군 일로읍 백련로 333,전라남도 무안군 일로읍 복룡리 150,34.86008849,126.5298962,2025-05-12,4950000,전라남도 무안군
1004섬 분재정원 분재대전,1004섬 분재정원,2025-11-07,2025-11-16,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-5445,https://tour.shinan.go.kr/,,전라남도 신안군 압해읍 무지개길 330,,,,2025-05-19,5010000,전라남도 신안군
섬 우럭축제,압해 송공항 일원,2025-11-22,2025-11-23,개막식+우럭요리시식+판매행사등,축제추진위원회,전라남도 신안군청,,061-240-8410,https://tour.shinan.go.kr/,,,전라남도 신안군 압해읍 송공리 718-64,,,2025-05-19,5010000,전라남도 신안군
섬 새우젓축제,지도 젓갈타운 일원,2025-11-24,2025-11-25,개막식+새우젓요리시식+판매행사등,축제추진위원회,전라남도 신안군청,,061-240-8410,https://tour.shinan.go.kr/,,전라남도 신안군 지도읍 해제지도로 1283-24,,,,2025-05-19,5010000,전라남도 신안군
2025년 섬 겨울꽃 축제,1004섬 분재정원,2025-12-19,2026-01-31,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-5445,https://tour.shinan.go.kr/,,전라남도 신안군 압해읍 무지개길 330,,,,2025-05-19,5010000,전라남도 신안군
곡성세계장미축제,곡성섬진강기차마을,2025-05-16,2025-05-25,올데이콘서트+로즈가든그루브파티+초대공연,전라남도 곡성군,전라남도 곡성군,,061-363-8379,https://www.gokseong.go.kr/tour/festivity/rose,,전라남도 곡성군 오곡면 기차마을로 232,전라남도 곡성군 오곡면 오지리 770-5,35.27753157,127.3082867,2025-05-14,6460000,전라남도
나주영산포홍어한우축제,나주영산강둔치체육공원일원,2025-05-23,2025-05-25,상설할인판매+초대공연+불꽃쇼,영산포홍어한우축제추진위원회,전라남도 나주시,,061-339-8597,https://www.naju.go.kr/tour/festival/skate,,전라남도 나주시 삼영1길 9,전라남도 나주시 삼영동 117-6,35.00357365,126.7069809,2025-05-14,6460000,전라남도
섬 불볼락축제,홍도항 일원,2025-10-24,2025-10-25,개막식+선상낚시체험+불볼락시식및나눔,축제추진위원회,전라남도 신안군청,,061-240-8410,https://tour.shinan.go.kr/,,전라남도 신안군 흑산면 홍도1길 21-5,,,,2025-05-19,5010000,전라남도 신안군
2025년 섬 함초 축제,태평염전,2025-10-24,2025-10-26,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-3524,https://tour.shinan.go.kr/,,전라남도 신안군 증도면 지도증도로 1083-4,,,,2025-05-19,5010000,전라남도 신안군
신안 샴막 예술 축제,비금면 일원,2025-05-17,2025-05-18,개막식+전시공연+체험프로그램+특별기획전+학술대회등,축제추진위원회,전라남도 신안군청,,061-240-8679,https://tour.shinan.go.kr/,,전라남도 신안군 비금면 비금북부길 573-1,,,,2025-05-19,5010000,전라남도 신안군
섬 낙지축제,압해 송공항 일원,2025-05-18,2025-05-19,개막식+낙지요리시식+판매행사등,축제추진위원회,전라남도 신안군청,,061-240-8410,https://tour.shinan.go.kr/,,,전라남도 신안군 압해읍 송공리 718-64,,,2025-05-19,5010000,전라남도 신안군
버들마편초 축제,안좌 퍼플섬,2025-05-23,2025-05-25,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-8129,https://tour.shinan.go.kr/,,전라남도 신안군 안좌면 소곡두리길 257-35,,,,2025-05-19,5010000,전라남도 신안군
2025년 돈나무꽃 축제,짱뚱어 운동장,2025-05-25,2025-05-26,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-3524,https://tour.shinan.go.kr/,,전라남도 신안군 압해읍 무지개길 330,,,,2025-05-19,5010000,전라남도 신안군
섬 깡다리축제,임자 튤립공원일원,2025-05-25,2025-05-26,개막식+깡다리요리시식+판매행사등,축제추진위원회,전라남도 신안군청,,061-240-8410,https://tour.shinan.go.kr/,,전라남도 신안군 임자면 대광해수욕장길 179,,,,2025-05-19,5010000,전라남도 신안군
섬 병어축제,지도 젓갈타운 일원,2025-06-07,2025-06-08,개막식+병어요리시식+판매행사등,축제추진위원회,전라남도 신안군청,,061-240-8410,https://tour.shinan.go.kr/,,전라남도 신안군 지도읍 해제지도로 1283-24,,,,2025-05-19,5010000,전라남도 신안군
섬 밴댕이축제,증도 설레미체험장일원,2025-06-07,2025-06-08,개막식+밴댕이요리시식+판매행사등,축제추진위원회,전라남도 신안군청,,061-240-8410,https://tour.shinan.go.kr/,,,전라남도 신안군 팔금면 원산리 112-1,,,2025-05-19,5010000,전라남도 신안군
제6회 섬 수국축제,수국정원 및 환상의정원 일원,2025-06-20,2025-06-29,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-5418,https://tour.shinan.go.kr/,,,전라남도 신안군 도초면 지남리 973,,,2025-05-19,5010000,전라남도 신안군
2025년 섬 크로코스미아꽃 축제,1004섬 분재정원,2025-07-04,2025-07-13,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-5445,https://tour.shinan.go.kr/,,전라남도 신안군 압해읍 무지개길 330,,,,2025-05-19,5010000,전라남도 신안군
섬 홍도 원추리꽃 축제,다목적 광장,2025-07-04,2025-07-13,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-4061,https://tour.shinan.go.kr/,,전라남도 신안군 흑산면 홍도1길 21-5,,,,2025-05-19,5010000,전라남도 신안군
섬 민어축제,임자 대광해변 일원,2025-08-02,2025-08-03,개막식+민어요리시식+판매행사등,축제추진위원회,전라남도 신안군청,,061-240-8410,https://tour.shinan.go.kr/,,전라남도 신안군 임자면 대광해수욕장길 179,,,,2025-05-19,5010000,전라남도 신안군
제1회 섬 목수국축제,수국정원 및 환상의정원 일원,2025-09-18,2025-09-21,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-5418,https://tour.shinan.go.kr/,,,전라남도 신안군 도초면 지남리 973,,,2025-05-19,5010000,전라남도 신안군
아스타축제,안좌 퍼플섬,2025-09-26,2025-10-12,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-8129,https://tour.shinan.go.kr/,,전라남도 신안군 안좌면 소곡두리길 257-35,,,,2025-05-19,5010000,전라남도 신안군
섬 왕새우축제,팔금 장목주차장 일원,2025-10-01,2025-10-10,개막식+새우요리만들기+왕새우판매+왕새우튀김등판촉행사,축제추진위원회,전라남도 신안군청,,061-240-8410,https://tour.shinan.go.kr/,,,전라남도 신안군 팔금면 원산리 112-1,,,2025-05-19,5010000,전라남도 신안군
섬 맨드라미 축제,증도면 병풍도 일원,2025-10-03,2025-10-12,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-5407,https://tour.shinan.go.kr/,,,전라남도 신안군 증도면 병풍리 519-1,,,2025-05-19,5010000,전라남도 신안군
2025년 국제꽃장식대회,1004섬 분재정원,2025-10-17,2025-10-18,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-5402,https://tour.shinan.go.kr/,,전라남도 신안군 압해읍 무지개길 330,,,,2025-05-19,5010000,전라남도 신안군
담양대나무축제,죽녹원 일원,2025-05-02,2025-05-06,메인프로그램 4개+부대프로그램 4개+소비자체험 프로그램 5개,(사)담양대나무축제위원회,(사)담양대나무축제위원회,문화체육관광부+전라남도청+한국관광공사,061-380-3152,www.bamboofestival.co.kr,,전라남도 담양군 담양읍 죽녹원로 134,전라남도 담양군 담양읍 향교리 22-1,35.3250949,126.9889266,2025-05-25,B551011,한국관광공사
영암왕인문화축제,왕인박사유적지,2025-05-03,2025-05-06,주제행사 4개+문화행사 5개+체험행사 5개+부대행사 4개,영암문화관광재단+영암군향토축제추진위원회,전라남도 영암군,문화체육관광부+한국관광공사+전라남도청,061-470-2346,http://영암왕인문화축제.kr,,전라남도 영암군 군서면 왕인로 440,전라남도 영암군 군서면 동구림리 산17,34.7554431,126.6310079,2025-05-25,B551011,한국관광공사
무주반딧불축제,무주등나무운동장 일원,2025-09-06,2025-09-14,반딜불이신비탐사+1박2일 생태체험+야간낙화 뗏목체험+반딧불 동요제+반디별 소풍 등,(사)무주반딧불축제제전위원회,전라북도 무주군,문화체육관광부+전북특별자치도청+한국관광공사,063-324-2440,https://www.firefly.or.kr/,,전북특별자치도 무주군 무주읍 최북로 15,전북특별자치도 무주군 무주읍 당산리 1170,36.0040096,127.6656587,2025-05-25,B551011,한국관광공사
보성다향대축제,한국차문화공원 및 보성차밭 일원,2025-05-02,2025-05-06,메인프로그램 5개+부대프로그램 4개+소비자체험 프로그램 3개,보성다향대축제추진위원회,보성차생산자조합,,061-850-5211,https://xn--2j1b3b273b9lecnkfqi0uo.com/,한국차소리문화공원,전라남도 보성군 보성읍 녹차로 775,전라남도 보성군 보성읍 봉산리 1191-1,34.71983753,127.0817208,2025-05-25,B551011,한국관광공사
김제지평선축제,벽골제+김제시 일원,2025-10-08,2025-10-12,지평선 전국 농악 경연대회+벽골제 전설 쌍용놀이+풍년기원입석줄다리기+대지아트 짚라인 체험+쌀뜨물 족욕마사지 체험+아궁이 쌀밥 짓기+벼베기 체험+야간 전통민속놀이+지평선 라이스 쇼+지평선 펫존+글로벌 센터,(사)김제시지평선축제제전위원회,전북특별자치도 김제시,,063-540-3037,,,전북특별자치도 김제시 부량면 벽골제로 442,전북특별자치도 김제시 부량면 신용리 242-1,35.75462558,126.8531043,2025-05-25,B551011,한국관광공사
추령장승축제,추령장승촌,2025-10-25,2025-10-26,장승제+문화예술공연 등,순창추령장승제전위원회,전북특별자치도 순창군,,063-650-5831,,,전북특별자치도 순창군 복흥면 추령로 1159,전북특별자치도 순창군 복흥면 정산리 326-4,35.43240472,126.929702,2025-06-17,4771000,전북특별자치도 순창군
2025 목포해상W쇼,평화광장 해상무대 일원,2025-04-26,2025-10-03,바다분수+해상무대공연+불꽃놀이 등,전라남도 목포시,목포시축제추진위원회,문화체육관광부+전라남도청+한국관광공사,061-270-8431,https://mokpowshow.co.kr/,,전라남도 목포시 평화로 82,,,,2025-06-25,4800000,전라남도 목포시
제21회 진안고원 운장산 고로쇠축제,주천면 운일암반일암 삼거광장 일원,2025-03-08,2025-03-09,고로쇠 관련 체험+고로쇠 판매 등,진안고원운장산고로쇠축제위원회,전북특별자치도 진안군,,063-430-2393,https://www.jinango.kr/,,,전북특별자치도 진안군 주천면 대불리 75-1,35.98388102,127.3882948,2025-07-28,4731000,전북특별자치도 진안군
제15회 진안고원 수박축제,동향면 체련공원 일원,2025-08-02,2025-08-03,수박왕 선발대회+수박판매 등,진안고원수박축제추진위원회,전북특별자치도 진안군,,063-430-2393,https://www.jinansubak.kr/,,전북특별자치도 진안군 동향면 진성로 1687,전북특별자치도 진안군 동향면 능금리 2198-2,35.84147374,127.5747111,2025-07-28,4731000,전북특별자치도 진안군
